idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
887,50534e9b5d.png,0,1,97.08,canonical_equivalent,137,137,"{\delta}_{\alpha}\equiv\frac{\delta}{du^{\alpha}}=(\delta_{i}=\partial_{i}-N_{i}^{b}(u)\partial_{b},\partial_{a}=\frac{\partial}{dy^{a}})","\delta_{\alpha}\equiv\frac{\delta}{du^{\alpha}}=(\delta_{i}=\partial_{i}-N_{i}^{b}(u)\;\partial_{b},\partial_{a}=\frac{\partial}{dy^{a}})","\delta_{\alpha}\equiv\frac{\delta}{du^{\alpha=(\delta_{i=\partial_{i-N_i^{b}(u)\partial_{b,\partial_{a=\frac{\partial}{dy^{a)","\delta_{\alpha}\equiv\frac{\delta}{du^{\alpha=(\delta_{i=\partial_{i-N_i^{b}(u)\partial_{b,\partial_{a=\frac{\partial}{dy^{a)"
888,5ac52ca986.png,0,1,98.473,canonical_equivalent,131,129,"{\frac{2}{3-\varphi^{2}}}\varphi^{\prime\prime}+[1-\lambda(p,\varphi)]\varphi^{\prime}=-[1-3\lambda(p,\varphi)]\alpha_{m}(\varphi),","\frac{2}{3-\varphi^{2}}\varphi^{\prime\prime}+[1-\lambda(p,\varphi)]\varphi^{\prime}=-[1-3\lambda(p,\varphi)]\alpha_{m}(\varphi),","\frac{2}{3-\varphi^{2}\varphi^{\prime\prime+[1-\lambda(p,\varphi)]\varphi^{\prime=-[1-3\lambda(p,\varphi)]\alpha_{m}(\varphi),","\frac{2}{3-\varphi^{2}\varphi^{\prime\prime+[1-\lambda(p,\varphi)]\varphi^{\prime=-[1-3\lambda(p,\varphi)]\alpha_{m}(\varphi),"
889,52b981ea58.png,0,1,98.347,canonical_equivalent,121,119,"j_{\;\;a}^{\mu}=i\bar{\psi}_{\alpha}^{\;A}\left(\gamma^{\mu}\right)_{\;\;\beta}^{\alpha}T_{\;\;aA}^{C}\psi_{\;C}^{\beta},","j_{\;\;a}^{\mu}=i\bar{\psi}_{\alpha}^{\;A}\left(\gamma^{\mu}\right)_{\;\;\beta}^{\alpha}T_{\;aA}^{C}\psi_{\;C}^{\beta},","j_a^{\mu=i\bar\psi_\alpha^{A}(\gamma^{\mu)_\beta^{\alpha}T_{aA^{C}\psi_C^{\beta,","j_a^{\mu=i\bar\psi_\alpha^{A}(\gamma^{\mu)_\beta^{\alpha}T_{aA^{C}\psi_C^{\beta,"
890,3047ce3033.png,0,0,84.0,missing_factorial,100,90,"f^{(0)}=kS~,~~~~~~~K^{(0)}=-\operatorname{ln}(S+\,\overline{{\!S}})+G^{(0)}(Z,\,\overline{{\!Z}})\,,","f^{(0)}=kS,\qquadK^{(0)}=-\operatorname{ln}(S+\overline{{S}})+G^{(0)}(Z,\overline{{Z}})\,,","f^{(0)=kS~,~~~~~~~K^{(0)=-\operatorname{ln}(S+\overline{{S)+G^{(0)}(Z,\overline{{Z),","f^{(0)=kS,K^{(0)=-\operatorname{ln}(S+\overline{{S)+G^{(0)}(Z,\overline{{Z),"
891,5a3785e0d1.png,0,1,98.601,canonical_equivalent,143,141,"G(s,\nu_{1},\nu_{2},\alpha(\mu),N)={\frac{1}{s^{3}}}Z_{\sigma^{2}}^{-3}(\alpha(1/s),\alpha(\mu))G_{\mathrm{red}}(\nu_{1},\nu_{2},\alpha(1/s),N)","G(s,\nu_{1},\nu_{2},\alpha(\mu),N)=\frac{1}{s^{3}}Z_{\sigma^{2}}^{-3}(\alpha(1/s),\alpha(\mu))G_{\mathrm{red}}(\nu_{1},\nu_{2},\alpha(1/s),N)","G(s,\nu_{1,\nu_{2,\alpha(\mu),N)=\frac{1}{s^{3}Z_{\sigma^2^{-3}(\alpha(1/s),\alpha(\mu))G_\mathrm{red}(\nu_{1,\nu_{2,\alpha(1/s),N)","G(s,\nu_{1,\nu_{2,\alpha(\mu),N)=\frac{1}{s^{3}Z_{\sigma^2^{-3}(\alpha(1/s),\alpha(\mu))G_\mathrm{red}(\nu_{1,\nu_{2,\alpha(1/s),N)"
892,6f6b8be8c5.png,1,1,100.0,exact,71,71,"{\calM}=V^{\dagger}{\calU}V,\quadV=(\sigma_{00}-i\sigma_{10})/\sqrt{2},","{\calM}=V^{\dagger}{\calU}V,\quadV=(\sigma_{00}-i\sigma_{10})/\sqrt{2},","{\calM=V^{\dagger}{\calU}V,V=(\sigma_{00-i\sigma_{10)/\sqrt{2,","{\calM=V^{\dagger}{\calU}V,V=(\sigma_{00-i\sigma_{10)/\sqrt{2,"
893,116f4d9c60.png,0,0,99.482,almost_correct,192,193,"\widehat{{\calR}}_{\mu\nu}={\calR}_{\mu\nu}+\theta^{\alpha\beta}{\calR}_{\mu\nu\alpha\beta}^{(1)}+\theta^{\alpha\beta}\theta^{\gamma\delta}{\calR}_{\mu\nu\alpha\beta\gamma\delta}^{(2)}+\cdots,","\widehat{{\calR}}_{\mu\nu}={\calR}_{\mu\nu}+\theta^{\alpha\beta}{\calR}_{\mu\nu\alpha\beta}^{(1)}+\theta^{\alpha\beta}\theta^{\gamma\delta}{\calR}_{\mu\nu\alpha\beta\gamma\delta}^{(2)}+\cdots~,","\widehat{\calR_{\mu\nu=\calR_{\mu\nu+\theta^{\alpha\beta}\calR_{\mu\nu\alpha\beta^{(1)+\theta^{\alpha\beta}\theta^{\gamma\delta}\calR_{\mu\nu\alpha\beta\gamma\delta^{(2)+\cdots,","\widehat{\calR_{\mu\nu=\calR_{\mu\nu+\theta^{\alpha\beta}\calR_{\mu\nu\alpha\beta^{(1)+\theta^{\alpha\beta}\theta^{\gamma\delta}\calR_{\mu\nu\alpha\beta\gamma\delta^{(2)+\cdots~,"
894,ec09a7844a.png,0,1,96.296,canonical_equivalent,54,52,p_{0}^{2}=p_{3}^{2}+P^{2}+c{\frac{1}{\theta^{2}P^{2}}},p_{0}^{2}=p_{3}^{2}+P^{2}+c\frac{1}{\theta^{2}P^{2}},p_0^{2=p_3^{2+P^{2+c\frac{1}{\theta^{2}P^{2},p_0^{2=p_3^{2+P^{2+c\frac{1}{\theta^{2}P^{2}
895,7e6847a0ed.png,0,0,99.038,almost_correct,104,104,"R_{l}(r)=\left(\frac{eB}{4}r^{2}\right)^{\frac{b}{2}-\frac{1}{4}}e^{-eBr^{2}/8}F(a,b,\frac{eB}{4}r^{2}),","R_{l}(r)=\left(\frac{eB}{4}r^{2}\right)^{\frac{h}{2}-\frac{1}{4}}e^{-eBr^{2}/8}F(a,b,\frac{eB}{4}r^{2}),","R_{l}(r)=(\frac{eB}{4}r^{2)^\frac{b}{2-\frac{1}{4}e^{-eBr^{2}/8}F(a,b,\frac{eB}{4}r^{2),","R_{l}(r)=(\frac{eB}{4}r^{2)^\frac{h}{2-\frac{1}{4}e^{-eBr^{2}/8}F(a,b,\frac{eB}{4}r^{2),"
896,e7e9327d02.png,1,1,100.0,exact,53,53,i\sum_{a=1}^{N}\psi^{a}\psi^{b}\omega_{ab}-C\dot{=}0.,i\sum_{a=1}^{N}\psi^{a}\psi^{b}\omega_{ab}-C\dot{=}0.,i\sum_{a=1^{N}\psi^{a}\psi^{b}\omega_{ab-C\dot{=}0.,i\sum_{a=1^{N}\psi^{a}\psi^{b}\omega_{ab-C\dot{=}0.
897,52bc42034a.png,0,0,93.793,semantic_or_token_error,145,136,\Omega(\pm\eta_{\mathrm{j}})=\Psi_{\mathrm{i}}\pm\epsilonn\eta_{0}\biggl(1-\frac{n^{2}}{n_{\mathrm{inf}}^{2}}\biggr)^{1/2}+{\calO}(\epsilon^{3}).,\Omega(\pm\eta_{\mathrm{j}})=\Psi_{i}\pm\epsilonn\eta_{0}\biggl(1-\frac{n^{2}}{n_{\mathrm{inf}}^{2}}\biggr)^{1/2}+{\calO}(\epsilon^{3}).,\Omega(\pm\eta_\mathrm{j)=\Psi_\mathrm{i}\pm\epsilonn\eta_{0}\biggl(1-\frac{n^{2}{n_\mathrm{inf^{2}\biggr)^{1/2+{\calO}(\epsilon^{3).,\Omega(\pm\eta_\mathrm{j)=\Psi_{i}\pm\epsilonn\eta_{0}\biggl(1-\frac{n^{2}{n_\mathrm{inf^{2}\biggr)^{1/2+{\calO}(\epsilon^{3).
898,7d7ae67068.png,0,0,59.524,too_short,42,25,"E(L)=-\displaystyle\frac{\pic(L)}{6L}\,\,.",E(L)=-\frac{\pic(L)}{6L}.,E(L)=-\displaystyle\frac{\pic(L)}{6L}.,E(L)=-\frac{\pic(L)}{6L}.
899,38266cd93f.png,0,0,91.753,semantic_or_token_error,97,89,\int_{0}^{\pi}C_{m}^{p}(cos{\theta})C_{l}^{p}(cos{\theta})(sin{\theta})^{2p}d{\theta}=\delta_{lm},\int_{0}^{\pi}C_{m}^{p}(cos\theta)C_{l}^{p}(cos\theta)(sin\theta)^{2p}d\theta=\delta_{lm},\int_0^{\pi}C_m^{p}(cos{\theta)C_l^{p}(cos{\theta)(sin{\theta)^{2p}d{\theta=\delta_{lm},\int_0^{\pi}C_m^{p}(cos\theta)C_l^{p}(cos\theta)(sin\theta)^{2p}d\theta=\delta_{lm}
900,2705e5ccee.png,1,1,100.0,exact,36,36,r^{\prime}=2(\Lambdar^{2}-M)p+2p_{v},r^{\prime}=2(\Lambdar^{2}-M)p+2p_{v},r^{\prime=2(\Lambdar^{2-M)p+2p_{v},r^{\prime=2(\Lambdar^{2-M)p+2p_{v}
901,53fb9be330.png,0,0,97.633,almost_correct,168,169,"\Omega_{\vec{n}_{\bot}}=\operatorname{exp}\left\{-i\pi\left(n_{1}Q_{\mathrm{rad}}^{1}+n_{2}Q_{\mathrm{rad}}^{2}\right)\right\},\qquad\left(n_{1}^{2}+n_{2}^{2}=1\right),","\Omega_{\vec{n}_{\perp}}=\operatorname{exp}\left\{-i\pi\left(n_{1}Q_{\mathrm{rad}}^{1}+n_{2}Q_{\mathrm{rad}}^{2}\right)\right\},\qquad\left(n_{1}^{2}+n_{2}^{2}=1\right),","\Omega_\vecn_{\bot=\operatorname{exp}\{-i\pi(n_{1}Q_\mathrm{rad^{1+n_{2}Q_\mathrm{rad^{2)\,(n_1^{2+n_2^{2=1),","\Omega_\vecn_{\perp=\operatorname{exp}\{-i\pi(n_{1}Q_\mathrm{rad^{1+n_{2}Q_\mathrm{rad^{2)\,(n_1^{2+n_2^{2=1),"
902,15e0e6ba31.png,1,1,100.0,exact,62,62,"\tau_{D}=\left(d_{p}Ne^{(2-k)\phi}\right)^{2/\tilde{d}}\gg1\,.","\tau_{D}=\left(d_{p}Ne^{(2-k)\phi}\right)^{2/\tilde{d}}\gg1\,.",\tau_{D=(d_{p}Ne^{(2-k)\phi)^{2/\tilde{d}\gg1.,\tau_{D=(d_{p}Ne^{(2-k)\phi)^{2/\tilde{d}\gg1.
903,62aaaed7e1.png,1,1,100.0,exact,58,58,\int\frac{d\omega}{2\pi}\rightarrow\frac{1}{\beta}\sum_{n},\int\frac{d\omega}{2\pi}\rightarrow\frac{1}{\beta}\sum_{n},\int\frac{d\omega}{2\pi}arrow\frac{1}{\beta}\sum_{n},\int\frac{d\omega}{2\pi}arrow\frac{1}{\beta}\sum_{n}
904,7290d88ea5.png,0,1,86.719,canonical_equivalent,128,111,"\operatorname*{det}\,\Delta_{\phi}=\operatorname*{det}\,\Delta_{\mathrm{gh}}=\left[\operatorname*{det}\,\Delta_{+}\right]^{1/2}.",\operatorname*{det}\Delta_{\phi}=\operatorname*{det}\Delta_{\mathrm{gh}}=[\operatorname*{det}\Delta_{+}]^{1/2}.,\operatorname*{det}\Delta_{\phi=\operatorname*{det}\Delta_\mathrm{gh=[\operatorname*{det}\Delta_{+]^{1/2}.,\operatorname*{det}\Delta_{\phi=\operatorname*{det}\Delta_\mathrm{gh=[\operatorname*{det}\Delta_{+]^{1/2}.
905,5df6d2bcc7.png,0,0,97.297,almost_correct,145,148,"{\bfa}^{\mu\nu}(x)=\frac{1}{(2\pi)^{3}}\int\frac{d^{3}p}{\sqrt{2p^{o}}}\left[{\bfa}^{\mu\nu}(p)\;e^{ipx}+{\bfa}^{\dag\mu\nu}(p)\;e^{-ipx}\right],","{\bfa}^{\mu\nu}(x)=\frac{1}{(2\pi)^{3}}\int\frac{d^{3}p}{\sqrt{2p^{2}}}\left[{\bfa}^{\mu\nu}(p)\;e^{ipx}+{\bfa}^{\dagger\mu\nu}(p)\;e^{-ipx}\right],","\bfa^{\mu\nu}(x)=\frac{1}{(2\pi)^{3}\int\frac{d^{3}p}\sqrt{2p^{o}[\bfa^{\mu\nu}(p)e^{ipx+\bfa^{\dag\mu\nu}(p)e^{-ipx],","\bfa^{\mu\nu}(x)=\frac{1}{(2\pi)^{3}\int\frac{d^{3}p}\sqrt{2p^{2}[\bfa^{\mu\nu}(p)e^{ipx+\bfa^{\dagger\mu\nu}(p)e^{-ipx],"
906,33bd10ea30.png,0,0,51.531,too_long,137,196,"S\equivS_{1}=(S_{1,ij})_{i,j=-1,0,1}=\left(\begin{array}{lll}{1,}&{0,}&{0}\{0,}&{-q(q^{2}+1)^{-1},}&{0}\{0,}&{0,}&{1}\\end{array}\right).",\begin{array}{ll}{S\equivS_{1}=(S_{1}\psi)N_{N-1}=\left(\begin{array}{lll}{1}&{0}=\left(\begin{array}{ll}{1}&{0}&{0}\{0}&{-0}\{0}&{}&{}&{0}&{0}\{0}&{0}&{0}&{0}&{1}\\end{array}\right).}\\end{array},"S\equivS_{1=(S_{1,ij)_{i,j=-1,0,1=(\begin{array}{lll}{1,}&{0,}&{0}\{0,}&{-q(q^{2+1)^{-1,}&{0}\{0,}&{0,}&{1}\\end{array).",\begin{array}{ll}{S\equivS_{1=(S_{1}\psi)N_{N-1=(\begin{array}{lll}{1}&{0=(\begin{array}{ll}{1}&{0}&{0}\{0}&{-0}\{0}&{}&{}&{0}&{0}\{0}&{0}&{0}&{0}&{1}\\end{array).}\\end{array}
907,1dcc9010be.png,0,1,97.26,canonical_equivalent,73,71,"{\frac{1}{2}}\intG_{(p+2)}\starG_{(p+2)}+i\mu_{p}\int_{p-brane}C_{(p+1)},","\frac{1}{2}\intG_{(p+2)}\starG_{(p+2)}+i\mu_{p}\int_{p-brane}C_{(p+1)},","\frac{1}{2}\intG_{(p+2)}\starG_{(p+2)+i\mu_{p}\int_{p-brane}C_{(p+1),","\frac{1}{2}\intG_{(p+2)}\starG_{(p+2)+i\mu_{p}\int_{p-brane}C_{(p+1),"
908,66a901e709.png,0,0,93.277,semantic_or_token_error,111,119,\mu\frac{d}{d\mu}\tilde{g}=\tilde{g}\frac12\gamma_{A}+\tilde{g}(\fracD2-2)=\frac{\tilde{g}}{2}(\gamma_{A}+D-4).,\mu\frac{d}{d\mu}\tilde{g}=\tilde{g}\frac{1}{2}\gamma_{A}+\tilde{g}(\frac{D}{2}-2)=\frac{\tilde{g}}{2}(\gamma_{A}+D-4).,\mu\frac{d}{d\mu}\tilde{g=\tilde{g}\frac12\gamma_{A+\tilde{g}(\fracD2-2)=\frac\tilde{g}{2}(\gamma_{A+D-4).,\mu\frac{d}{d\mu}\tilde{g=\tilde{g}\frac{1}{2}\gamma_{A+\tilde{g}(\frac{D}{2-2)=\frac\tilde{g}{2}(\gamma_{A+D-4).
909,38c5d2d2a5.png,1,1,100.0,exact,87,87,"\nu^{2}:=\frac{\lambda_{2}}{\lambda_{1}},\qquad\mu^{2}:=\frac{\lambda_{0}}{\lambda_{1}}","\nu^{2}:=\frac{\lambda_{2}}{\lambda_{1}},\qquad\mu^{2}:=\frac{\lambda_{0}}{\lambda_{1}}","\nu^{2}:=\frac{\lambda_{2}{\lambda_{1,\mu^{2}:=\frac{\lambda_{0}{\lambda_{1}","\nu^{2}:=\frac{\lambda_{2}{\lambda_{1,\mu^{2}:=\frac{\lambda_{0}{\lambda_{1}"
910,1c80a7df6f.png,1,1,100.0,exact,160,160,"32T={\frac{r_{0}^{2}}{2}}[\dot{\xi}^{2}+\operatorname{tan}^{2}(\xi)\dot{\phi}^{2}]={\frac{r_{0}^{2}}{2}}[\dot{\xi}^{2}+\operatorname{cot}^{2}(\xi)p_{\phi}^{2}],","32T={\frac{r_{0}^{2}}{2}}[\dot{\xi}^{2}+\operatorname{tan}^{2}(\xi)\dot{\phi}^{2}]={\frac{r_{0}^{2}}{2}}[\dot{\xi}^{2}+\operatorname{cot}^{2}(\xi)p_{\phi}^{2}],","32T=\frac{r_0^{2}{2}[\dot\xi^{2+\operatorname{tan^{2}(\xi)\dot\phi^{2]=\frac{r_0^{2}{2}[\dot\xi^{2+\operatorname{cot^{2}(\xi)p_\phi^{2],","32T=\frac{r_0^{2}{2}[\dot\xi^{2+\operatorname{tan^{2}(\xi)\dot\phi^{2]=\frac{r_0^{2}{2}[\dot\xi^{2+\operatorname{cot^{2}(\xi)p_\phi^{2],"
911,55e8069117.png,0,0,93.333,semantic_or_token_error,73,75,"\nabla^{(1)}\pi_{\alpha}^{(1)}=0,~~~[\pi^{(1)},H^{(1)}]_{*_{1}}=O(\hbar).","\nabla^{(1)}\pi_{\alpha}^{(1)}=0,\quad[\pi^{(1)},H^{(1)}]_{*_{1}}=O(\hbar).","\nabla^{(1)}\pi_\alpha^{(1)=0,~~~[\pi^{(1),H^{(1)]_{*_{1=O(\hbar).","\nabla^{(1)}\pi_\alpha^{(1)=0,[\pi^{(1),H^{(1)]_{*_{1=O(\hbar)."
912,14bd9bc1fa.png,0,1,93.548,canonical_equivalent,58,62,\dot{r}^{2}-\frac{E^{2}}{r^{2}}G+\frac{G}{F}p_{\chi}^{2}=0,\dot{r}^{2}-{\frac{E^{2}}{r^{2}}}G+{\frac{G}{F}}p_{\chi}^{2}=0,\dotr^{2-\frac{E^{2}{r^{2}G+\frac{G}{F}p_\chi^{2=0,\dotr^{2-\frac{E^{2}{r^{2}G+\frac{G}{F}p_\chi^{2=0
913,1e497609d4.png,0,1,97.5,canonical_equivalent,78,80,"\overline{{A}}^{t}=\frac{1}{t}\int_{0}^{t}\,d\tauA[\pi(\tau),\varphi(\tau)]~~.","\overline{{A}}^{t}={\frac{1}{t}}\int_{0}^{t}\,d\tauA[\pi(\tau),\varphi(\tau)]~~.","\overline{A^{t=\frac{1}{t}\int_0^{t}d\tauA[\pi(\tau),\varphi(\tau)]~~.","\overline{A^{t=\frac{1}{t}\int_0^{t}d\tauA[\pi(\tau),\varphi(\tau)]~~."
914,430b5f88a9.png,0,0,95.122,almost_correct,123,117,"\tilde{B}=\left(\begin{array}{ll}{3N_{c}-2N_{f}-6}&{-N_{f}}\{N_{f}-N_{c}+1}&{{\frac{N_{f}-N_{c}+4}{2}}}\\end{array}\right),","\tilde{B}=\left(\begin{array}{ll}{3N_{c}-2N_{f}-6}&{-N_{f}}\{N_{f}-N_{c}+1}&{\frac{N-N_{c}+4}{2}}\\end{array}\right),","\tilde{B=(\begin{array}{ll}{3N_{c-2N_{f-6}&{-N_{f}\{N_{f-N_{c+1}&\frac{N_{f-N_{c+4}{2}\\end{array),","\tilde{B=(\begin{array}{ll}{3N_{c-2N_{f-6}&{-N_{f}\{N_{f-N_{c+1}&\frac{N-N_{c+4}{2}\\end{array),"
915,5aff6b796d.png,0,1,95.699,canonical_equivalent,89,93,"f_{(\frac{3}{2},3)}^{M}(A_{9})=\frac{17\pi^{2}}{108}A_{9}^{4},\qquad-\infty<A_{9}<\infty,","f_{({\frac{3}{2}},3)}^{M}(A_{9})={\frac{17\pi^{2}}{108}}A_{9}^{4},\qquad-\infty<A_{9}<\infty,","f_{(\frac{3}{2,3)^{M}(A_{9)=\frac{17\pi^{2}{108}A_9^{4,-\infty<A_{9}<\infty,","f_{(\frac{3}{2,3)^{M}(A_{9)=\frac{17\pi^{2}{108}A_9^{4,-\infty<A_{9}<\infty,"
916,14a1b8e462.png,0,0,92.35,semantic_or_token_error,183,177,"\intdx\,\sqrt{g}\,V[\sigma]=\intdx\,\sqrt{g}\,\frac{N}{2\lambda_{B}}\sigma^{2}+\frac{N}{2}\mathrm{Tr~}\,\int_{1/\Lambda^{2}}^{\infty}\frac{dt}{t}\,e^{-t\sigma^{2}}e^{\not\nabla^{2}t}.","\intdx\,\sqrt{g}\,V[\sigma]=\intdx\,\sqrt{g}\,\frac{N}{2\lambda_{B}}\sigma^{2}+\frac{N}{2}\mathrm{Tr}~\int_{1/\Lambda^{2}}^{\infty}\,\frac{dt}{t}\,e^{-t\sigma^{2}}e^{\Psi^{2}t}.",\intdx\sqrt{g}V[\sigma]=\intdx\sqrt{g}\frac{N}{2\lambda_{B}\sigma^{2+\frac{N}{2}\mathrm{Tr~}\int_{1/\Lambda^2^{\infty}\frac{dt}{t}e^{-t\sigma^{2}e^{\not\nabla^{2}t}.,\intdx\sqrt{g}V[\sigma]=\intdx\sqrt{g}\frac{N}{2\lambda_{B}\sigma^{2+\frac{N}{2}\mathrm{Tr}~\int_{1/\Lambda^2^{\infty}\frac{dt}{t}e^{-t\sigma^{2}e^{\Psi^{2}t}.
917,3d9e56c770.png,1,1,100.0,exact,55,55,\rho_{2}=\sqrt{2}e\intdx^{-}\psi_{+}^{\dagger}\psi_{+}.,\rho_{2}=\sqrt{2}e\intdx^{-}\psi_{+}^{\dagger}\psi_{+}.,\rho_{2=\sqrt{2}e\intdx^{-}\psi_{+^{\dagger}\psi_{+}.,\rho_{2=\sqrt{2}e\intdx^{-}\psi_{+^{\dagger}\psi_{+}.
918,6b4115f47a.png,0,0,89.474,semantic_or_token_error,51,57,"\operatorname{tan}\phi_{0}=0,(\mathrm{if}M_{0}\ne0)","\operatorname{tan}\phi_{0}=0,\quad(\mathrm{if}M_{0}\neq0)","\operatorname{tan}\phi_{0=0,(\mathrm{if}M_{0}\neq0)","\operatorname{tan}\phi_{0=0,(\mathrm{if}M_{0}\neqq0)"
919,350437a530.png,0,0,92.647,semantic_or_token_error,63,68,"\eta\left(V(V_{(\infty^{p},-1)}^{(M)}(\psi)\chi,1)U\right)=0\,,","\eta\left(V(V_{(\infty^{\prime},-1)}^{(M)}(\psi)\chi,1)U\right)=0\,,","\eta(V(V_{(\infty^{p,-1)^{(M)}(\psi)\chi,1)U)=0,","\eta(V(V_{(\infty^{\prime,-1)^{(M)}(\psi)\chi,1)U)=0,"
920,39fd38f316.png,0,1,81.915,canonical_equivalent,94,89,"F_{12}=F_{0}J_{1}\;,\;\;\;F_{34}=F_{0}J_{2}\;,\;\;\;F_{56}=F_{0}J_{3}\;,\;\;\;F_{09}=vJ_{0}\;,","F_{12}=F_{0}J_{1},\quadF_{34}=F_{0}J_{2}\;,\quadF_{56}=F_{0}J_{3}\;,\quadF_{09}=vJ_{0}\;,","F_{12=F_{0}J_{1,F_{34=F_{0}J_{2,F_{56=F_{0}J_{3,F_{09=vJ_{0,","F_{12=F_{0}J_{1,F_{34=F_{0}J_{2,F_{56=F_{0}J_{3,F_{09=vJ_{0,"
921,7822a7e3c7.png,0,0,93.333,semantic_or_token_error,56,60,{\calD}_{2g}=\frac{1}{\rho}(\vec{\sigma}.\vec{\calL}+1).,{\calD}_{2g}={\frac{1}{\rho}}(\vec{\sigma}.\vec{{\calL}}+1).,\calD_{2g=\frac{1}{\rho}(\vec{\sigma}.\vec{\calL+1).,\calD_{2g=\frac{1}{\rho}(\vec{\sigma}.\vec{{\calL+1).
922,789c522b90.png,1,1,100.0,exact,130,130,"\hat{q}=\sqrt{\frac{\hbar}{2m\omega}}\left[a+a^{\dagger}\right],\hat{p}=-i\sqrt{\frac{\hbarm\omega}{2}}\left[a-a^{\dagger}\right],","\hat{q}=\sqrt{\frac{\hbar}{2m\omega}}\left[a+a^{\dagger}\right],\hat{p}=-i\sqrt{\frac{\hbarm\omega}{2}}\left[a-a^{\dagger}\right],","\hat{q=\sqrt\frac{\hbar}{2m\omega}[a+a^{\dagger],\hat{p=-i\sqrt\frac{\hbarm\omega}{2}[a-a^{\dagger],","\hat{q=\sqrt\frac{\hbar}{2m\omega}[a+a^{\dagger],\hat{p=-i\sqrt\frac{\hbarm\omega}{2}[a-a^{\dagger],"
923,559a37817f.png,1,1,100.0,exact,125,125,D_{\gamma}=exp\left\{\frac{b}{d}L_{-1}\right\}\left(\frac{\sqrt{ad-bc}}{d}\right)^{2L_{0}}exp\left\{-\frac{c}{d}L_{1}\right\},D_{\gamma}=exp\left\{\frac{b}{d}L_{-1}\right\}\left(\frac{\sqrt{ad-bc}}{d}\right)^{2L_{0}}exp\left\{-\frac{c}{d}L_{1}\right\},D_{\gamma=exp\\frac{b}{d}L_{-1}\}(\frac\sqrt{ad-bc}{d)^{2L_{0}exp\{-\frac{c}{d}L_{1}\},D_{\gamma=exp\\frac{b}{d}L_{-1}\}(\frac\sqrt{ad-bc}{d)^{2L_{0}exp\{-\frac{c}{d}L_{1}\}
924,673faf5a46.png,1,1,100.0,exact,67,67,ds^{2}=\eta_{\mu\nu}dx^{\mu}dx^{\nu}+r^{2}(d\theta+qdy)^{2}+dy^{2}.,ds^{2}=\eta_{\mu\nu}dx^{\mu}dx^{\nu}+r^{2}(d\theta+qdy)^{2}+dy^{2}.,ds^{2=\eta_{\mu\nu}dx^{\mu}dx^{\nu+r^{2}(d\theta+qdy)^{2+dy^{2}.,ds^{2=\eta_{\mu\nu}dx^{\mu}dx^{\nu+r^{2}(d\theta+qdy)^{2+dy^{2}.
925,2eb75a29c0.png,1,1,100.0,exact,94,94,"\frac{\bar{\Lambda}/M^{2}}{M_{P,eff}^{2}}=\frac{\tilde{\Lambda}/M^{2}}{\tilde{M}_{P,eff}^{2}}.","\frac{\bar{\Lambda}/M^{2}}{M_{P,eff}^{2}}=\frac{\tilde{\Lambda}/M^{2}}{\tilde{M}_{P,eff}^{2}}.","\frac\bar{\Lambda}/M^{2}{M_{P,eff^{2=\frac\tilde{\Lambda}/M^{2}\tildeM_{P,eff^{2}.","\frac\bar{\Lambda}/M^{2}{M_{P,eff^{2=\frac\tilde{\Lambda}/M^{2}\tildeM_{P,eff^{2}."
926,5966a791ac.png,0,1,99.18,canonical_equivalent,122,122,h_{\mu\nu}=\frac{1}{2}\left(\nabla_{\mu}\xi_{\nu}+\nabla_{\nu}\xi_{\mu}-\delta_{\mu\nu}\nabla\xi\right)=(P\xi)_{\mu\nu}\:.,"h_{\mu\nu}=\frac{1}{2}\left(\nabla_{\mu}\xi_{\nu}+\nabla_{\nu}\xi_{\mu}-\delta_{\mu\nu}\nabla\xi\right)=(P\xi)_{\mu\nu}\,.",h_{\mu\nu=\frac{1}{2}(\nabla_{\mu}\xi_{\nu+\nabla_{\nu}\xi_{\mu-\delta_{\mu\nu}\nabla\xi)=(P\xi)_{\mu\nu}.,h_{\mu\nu=\frac{1}{2}(\nabla_{\mu}\xi_{\nu+\nabla_{\nu}\xi_{\mu-\delta_{\mu\nu}\nabla\xi)=(P\xi)_{\mu\nu}.
927,36d5974564.png,1,1,100.0,exact,99,99,"S_{\Lambda}[A,E]=-\int_{\calM}\mathrm{Tr}\left(E\wedgeF+{\frac{\Lambda}{12}}E\wedgeE\wedgeE\right),","S_{\Lambda}[A,E]=-\int_{\calM}\mathrm{Tr}\left(E\wedgeF+{\frac{\Lambda}{12}}E\wedgeE\wedgeE\right),","S_{\Lambda}[A,E]=-\int_{\calM}\mathrm{Tr}(E\wedgeF+\frac{\Lambda}{12}E\wedgeE\wedgeE),","S_{\Lambda}[A,E]=-\int_{\calM}\mathrm{Tr}(E\wedgeF+\frac{\Lambda}{12}E\wedgeE\wedgeE),"
